OrderID,OrderDate,Region,Category,SalesChannel,PaymentMode,Quantity,UnitPrice,DiscountPercent,CustomerAge,CustomerRating,TotalSales
100959,28-10-2024,East,Beauty,In-Store,Cash,7.0,21.0,25.0,25.0,2.2,110.25
100669,2024-04-06,East,CLOTHING,In-Store,Cash,4.0,65.12,5.0,31.0,4.4,247.46
100224,2025-06-11,  east ,Electronics,Online,Cash,3.0,241.5,10.0,56.0,3.4,652.05
102802,2025-12-24,Central,Sports,Online,Net Banking,8.0,38.42,20.0,38.0,3.6,245.89
101146,2025-01-23,  west ,Beauty,Online,Debit Card,5.0,26.96,0.0,18.0,4.0,134.8
102760,2024-04-07,Central,Clothing,Online,UPI,6.0,,20.0,37.0,,268.46
102328,2024-01-20,Central,Electronics,In-Store,Credit Card,2.0,188.34,5.0,44.0,1.1,357.85
100568,2025-04-14,  south ,Home & Kitchen,Online,Credit Card,11.0,14.03,15.0,,3.7,131.18
100362,2024-06-12,Central,Beauty,Online,Cash,6.0,26.94,10.0,47.0,4.3,145.48
102605,2025-07-06,North,Books,Online,Cash,8.0,25.73,5.0,37.0,2.3,195.55
101526,2024-08-21,South,Beauty,In-Store,Net Banking,1.0,49.02,0.0,63.0,,49.02
100377,2025-06-29,South,Beauty,In-Store,Cash,6.0,25.44,0.0,69.0,3.1,152.64
101366,2024-08-08,South,Clothing,Online,Net Banking,3.0,17.07,25.0,59.0,4.8,38.41
100847,2024-02-07,Central,Beauty,Online,Debit Card,5.0,17.34,20.0,27.0,2.5,69.36
101470,18-10-2025,East,Sports,Online,Cash,3.0,78.94,0.0,24.0,3.3,236.82
101189,2024-01-06,East,Beauty,In-Store,UPI,1.0,26.33,20.0,49.0,1.3,21.06
102763,2024-01-27,West,Clothing,In-Store,Cash,10.0,29.59,0.0,64.0,,295.9
101225,2025-12-09,West,Books,Online,Cash,2.0,15.38,25.0,26.0,1.7,23.07
101514,06/29/2024,South,Home & Kitchen,In-Store,Credit Card,10.0,96.26,0.0,59.0,2.8,962.6
102331,2025-09-21,West,BOOKS,Online,Net Banking,8.0,20.55,0.0,56.0,4.8,164.4
101098,2024-01-31,Central,Sports,Online,UPI,8.0,46.27,10.0,28.0,3.4,333.14
102578,2025-12-09,North,Beauty,Online,UPI,2.0,14.68,0.0,,2.3,29.36
100637,2024-08-05,West,Sports,In-Store,Cash,3.0,63.26,0.0,24.0,1.6,189.78
100807,2024-03-21,East,Beauty,In-Store,UPI,6.0,32.05,20.0,43.0,4.1,153.84
102979,2024-12-13,Central,Home & Kitchen,Online,Cash,8.0,109.24,15.0,67.0,2.8,742.83
100836,2025-08-13,Central,Sports,Online,Cash,9.0,83.57,25.0,22.0,1.1,564.1
102071,2025-04-18,North,Books,Online,Net Banking,3.0,8.39,25.0,30.0,4.4,18.88
101292,11/20/2024,  west ,Electronics,In-Store,UPI,6.0,276.29,0.0,41.0,2.7,1657.74
101213,2025-09-25,North,Electronics,Online,UPI,9.0,247.45,0.0,,2.1,2227.05
100275,2024-12-18,East,Books,In-Store,Cash,10.0,17.05,10.0,37.0,,153.45
101915,2025-01-13,South,Sports,In-Store,Credit Card,1.0,50.38,0.0,57.0,4.4,50.38
100592,2024-06-24,East,Beauty,Online,Cash,9.0,39.64,0.0,66.0,4.8,356.76
100121,2025-05-03,East,Beauty,Online,Net Banking,4.0,36.91,0.0,43.0,1.4,147.64
102485,20-09-2024,  north ,Books,In-Store,Debit Card,11.0,9.69,0.0,,3.3,106.59
102528,2024-03-04,East,Books,In-Store,Net Banking,2.0,22.99,0.0,25.0,3.5,45.98
101784,06/15/2025,  north ,Books,Online,Credit Card,9.0,21.15,5.0,57.0,4.5,180.83
100485,2024-06-19,  central ,Books,In-Store,Credit Card,,18.03,25.0,18.0,2.1,13.52
102470,2025-10-14,Central,Home & Kitchen,Online,Cash,10.0,73.62,15.0,31.0,3.0,625.77
102849,09/21/2024,,Sports,In-Store,Cash,3.0,41.24,0.0,65.0,4.5,123.72
100769,10/02/2024,Central,Beauty,Online,UPI,10.0,21.88,25.0,38.0,2.9,164.1
102555,2024-03-16,Central,Sports,Online,UPI,4.0,120.23,25.0,54.0,1.4,360.69
101389,2025-10-26,  north ,Beauty,Online,UPI,8.0,12.73,0.0,,4.1,101.84
102159,2024-09-01,North,Books,Online,Cash,7.0,24.42,0.0,28.0,1.7,170.94
101352,2024-12-28,West,Clothing,In-Store,Credit Card,9.0,43.97,0.0,64.0,4.4,395.73
100997,2024-09-20,North,Home & Kitchen,Online,Net Banking,6.0,54.84,0.0,59.0,2.5,329.04
101040,2025-05-31,East,SPORTS,In-Store,Net Banking,7.0,60.99,20.0,19.0,4.9,341.54
102296,2024-05-02,West,Beauty,In-Store,UPI,4.0,46.77,25.0,41.0,3.2,140.31
101385,20-06-2024,South,Electronics,In-Store,Cash,8.0,297.91,5.0,24.0,4.9,2264.12
100412,2024-07-23,Central,Books,Online,Net Banking,7.0,16.95,25.0,53.0,2.3,88.99
100523,25-08-2025,South,Sports,Online,Credit Card,8.0,59.96,0.0,52.0,1.2,479.68
101192,2024-05-04,Central,Electronics,Online,Debit Card,4.0,228.38,5.0,66.0,1.7,867.84
101102,02-11-2025,East,Beauty,Online,Debit Card,1.0,33.59,5.0,60.0,4.5,31.91
102234,03/06/2025,North,Electronics,In-Store,Credit Card,4.0,189.04,10.0,49.0,4.6,680.54
100662,2024-01-26,South,Electronics,Online,UPI,6.0,193.29,0.0,21.0,2.8,1159.74
100095,2024-07-29,West,CLOTHING,Online,UPI,5.0,42.72,5.0,19.0,2.8,202.92
101358,2024-03-16,  west ,Beauty,Online,Credit Card,10.0,31.41,0.0,44.0,1.1,314.1
101396,2025-03-29,Central,Books,Online,Credit Card,6.0,29.05,10.0,,2.0,156.87
102805,2025-12-09,North,Electronics,Online,UPI,6.0,240.49,25.0,51.0,2.3,1082.2
100468,2024-05-12,East,Beauty,In-Store,Cash,6.0,22.48,5.0,19.0,3.7,128.14
102050,2024-05-05,Central,BEAUTY,Online,Credit Card,1.0,33.62,0.0,44.0,4.3,33.62
100358,07-03-2024,  south ,Books,Online,Debit Card,6.0,21.32,0.0,39.0,5.0,127.92
101318,2024-11-24,East,Electronics,Online,,4.0,178.43,25.0,29.0,3.6,535.29
102372,2024-02-14,North,Books,Online,Cash,11.0,4.94,25.0,68.0,1.6,40.76
101778,2024-08-12,  south ,Clothing,Online,Credit Card,5.0,34.77,0.0,43.0,1.2,173.85
100125,2025-02-17,West,Clothing,Online,UPI,9.0,53.26,0.0,51.0,4.7,479.34
101235,2024-09-10,East,Books,In-Store,Credit Card,4.0,14.4,0.0,65.0,1.6,57.6
102156,19-11-2024,North,Clothing,In-Store,Credit Card,1.0,31.36,15.0,,4.5,26.66
102750,28-06-2024,South,Electronics,In-Store,Net Banking,6.0,420.23,15.0,67.0,1.7,2143.17
101578,2024-03-23,East,Sports,Online,Cash,2.0,18.95,5.0,29.0,2.8,36.0
102215,2024-10-12,Central,Sports,Online,Net Banking,5.0,57.31,0.0,32.0,4.7,286.55
102713,15-01-2025,North,Sports,In-Store,UPI,3.0,89.59,5.0,38.0,2.4,255.33
101958,2025-04-27,North,Sports,Online,Cash,9.0,45.05,20.0,53.0,4.5,324.36
100314,2024-06-27,  central ,Electronics,In-Store,Credit Card,2.0,309.09,0.0,63.0,2.9,618.18
102516,2025-05-20,  south ,Home & Kitchen,In-Store,UPI,4.0,95.04,0.0,27.0,,380.16
101975,2024-02-06,East,Electronics,In-Store,Net Banking,10.0,411.42,0.0,52.0,4.9,4114.2
100971,2024-11-01,Central,CLOTHING,Online,Debit Card,3.0,40.34,10.0,34.0,3.8,108.92
102013,2025-11-04,Central,Clothing,Online,Debit Card,6.0,9.89,15.0,47.0,1.2,50.44
102733,2024-06-05,West,Books,Online,Cash,4.0,20.94,0.0,30.0,5.0,83.76
100513,2025-08-19,,Home & Kitchen,In-Store,UPI,10.0,110.58,25.0,35.0,1.3,829.35
102951,2025-01-06,  central ,CLOTHING,Online,Credit Card,3.0,27.38,10.0,40.0,4.1,73.93
102054,2025-06-06,  south ,ELECTRONICS,In-Store,Credit Card,3.0,,15.0,50.0,1.0,882.43
101443,2024-11-12,North,Sports,Online,Net Banking,8.0,55.4,25.0,41.0,4.1,332.4
102935,16-06-2024,East,Clothing,In-Store,Credit Card,4.0,37.21,5.0,44.0,4.4,141.4
100426,23-09-2025,South,Home & Kitchen,Online,UPI,9.0,109.27,15.0,64.0,2.6,835.92
101876,19-06-2024,  north ,Electronics,Online,Cash,4.0,259.94,15.0,63.0,1.1,883.8
100456,2024-04-18,East,Electronics,Online,Cash,4.0,272.84,0.0,48.0,3.7,1091.36
101857,2025-03-03,East,BEAUTY,Online,Cash,1.0,28.19,0.0,60.0,,28.19
100739,2025-10-18,East,Sports,Online,Cash,11.0,59.13,15.0,60.0,3.5,552.87
100206,2025-07-12,North,Home & Kitchen,Online,Debit Card,5.0,147.79,10.0,62.0,1.1,665.06
101279,2025-09-24,North,Beauty,In-Store,Debit Card,2.0,32.52,0.0,34.0,4.9,65.04
101086,2025-08-08,South,Sports,In-Store,UPI,1.0,32.45,15.0,26.0,4.4,27.58
100845,2024-01-04,North,Clothing,Online,UPI,8.0,23.27,0.0,44.0,3.4,186.16
100985,2025-04-21,South,Books,Online,Net Banking,7.0,,10.0,39.0,4.0,89.46
101853,2024-04-27,  south ,Beauty,Online,Cash,10.0,11.61,10.0,58.0,4.9,104.49
102839,2025-12-11,West,Clothing,In-Store,Cash,5.0,,0.0,59.0,1.0,178.45
101530,2024-03-06,  west ,Clothing,Online,Credit Card,4.0,57.08,0.0,43.0,3.0,228.32
100375,2024-03-10,West,Home & Kitchen,Online,Cash,10.0,90.88,0.0,25.0,,908.8
100840,30-07-2024,North,Beauty,In-Store,Credit Card,3.0,26.92,5.0,26.0,4.6,76.72
102366,2024-09-03,East,Books,Online,Debit Card,10.0,17.91,25.0,42.0,4.4,134.32
100325,17-06-2024,  north ,Home & Kitchen,Online,Cash,11.0,50.35,25.0,21.0,2.8,415.39
102019,2024-12-03,West,Sports,Online,Debit Card,4.0,82.31,25.0,43.0,4.9,246.93
100416,2025-12-09,West,Home & Kitchen,Online,Debit Card,7.0,57.87,25.0,39.0,4.6,303.82
102521,2024-02-02,North,Electronics,Online,Net Banking,5.0,206.99,0.0,58.0,4.6,1034.95
102011,2024-10-14,West,Home & Kitchen,In-Store,Credit Card,4.0,82.39,0.0,21.0,1.1,329.56
101761,2024-10-26,West,Clothing,In-Store,Debit Card,8.0,37.25,10.0,67.0,3.1,268.2
100705,16-02-2025,East,Books,Online,Debit Card,7.0,21.26,0.0,49.0,1.0,148.82
102326,2024-09-07,South,Electronics,In-Store,,10.0,280.34,20.0,20.0,3.7,2242.72
102590,02/21/2024,North,Electronics,Online,UPI,11.0,250.89,5.0,50.0,5.0,2621.8
102471,2024-03-13,North,BEAUTY,In-Store,Debit Card,10.0,30.93,10.0,30.0,3.2,278.37
101082,2025-12-01,North,Clothing,In-Store,Net Banking,4.0,58.76,10.0,51.0,3.8,211.54
101298,22-01-2025,West,Books,In-Store,Credit Card,,14.88,0.0,36.0,1.1,89.28
102450,05-09-2025,East,Books,In-Store,UPI,9.0,12.67,10.0,,2.6,102.63
101305,2025-05-05,South,Home & Kitchen,Online,Credit Card,3.0,76.93,20.0,44.0,2.8,184.63
102983,2025-08-24,  south ,Books,In-Store,UPI,3.0,27.04,0.0,38.0,3.9,81.12
101953,2024-12-05,North,Clothing,Online,Cash,2.0,26.34,20.0,18.0,2.8,42.14
102068,29-08-2024,Central,Home & Kitchen,Online,Cash,1.0,87.56,0.0,20.0,2.9,87.56
100419,2025-01-05,Central,Home & Kitchen,In-Store,Cash,8.0,74.07,0.0,47.0,4.2,592.56
102527,24-11-2025,  west ,Beauty,In-Store,Debit Card,2.0,22.34,0.0,36.0,4.8,44.68
102791,2024-04-23,North,Books,In-Store,UPI,2.0,19.57,5.0,68.0,1.9,37.18
102142,12/04/2025,West,Books,Online,UPI,3.0,24.21,10.0,32.0,4.5,65.37
102168,15-11-2025,South,BOOKS,Online,Credit Card,11.0,2.0,0.0,27.0,2.9,22.0
100361,13-10-2025,Central,Beauty,Online,UPI,6.0,30.49,5.0,34.0,3.2,173.79
101002,2025-02-12,Central,Sports,Online,Cash,7.0,36.3,0.0,51.0,4.4,254.1
102515,2025-08-22,East,Home & Kitchen,Online,UPI,4.0,57.07,0.0,55.0,2.9,228.28
102907,2025-11-24,South,Electronics,In-Store,Credit Card,11.0,196.7,0.0,18.0,1.5,2163.7
101718,2024-10-28,South,Clothing,In-Store,Credit Card,9.0,42.95,25.0,56.0,3.2,289.91
100612,2025-07-27,North,Electronics,Online,UPI,1.0,276.87,10.0,69.0,2.9,249.18
101256,2024-06-11,Central,Books,Online,Debit Card,3.0,28.32,10.0,38.0,4.4,76.46
102138,2025-01-29,  west ,SPORTS,In-Store,Debit Card,9.0,31.98,10.0,57.0,1.2,259.04
101992,2024-07-28,Central,Beauty,Online,Credit Card,11.0,26.26,0.0,40.0,1.6,288.86
101418,09/21/2025,North,Books,Online,UPI,11.0,23.34,5.0,53.0,4.7,243.9
101765,2025-11-14,  south ,Books,Online,Cash,6.0,29.06,0.0,50.0,3.5,174.36
101122,2024-07-15,  south ,Books,In-Store,Debit Card,3.0,23.43,5.0,24.0,2.6,66.78
102534,2025-08-08,North,Beauty,In-Store,Debit Card,1.0,21.25,0.0,69.0,3.0,21.25
101742,2024-11-29,Central,Home & Kitchen,In-Store,Net Banking,9.0,110.52,10.0,53.0,2.2,895.21
100386,2024-02-19,North,BOOKS,Online,Cash,8.0,23.89,20.0,21.0,4.4,152.9
102057,2025-06-23,Central,Beauty,Online,Net Banking,9.0,9.25,20.0,19.0,3.0,66.6
101104,2024-08-11,North,Home & Kitchen,Online,Credit Card,3.0,41.35,15.0,61.0,5.0,105.44
101216,2025-01-05,East,Sports,In-Store,UPI,9.0,56.66,15.0,36.0,2.6,433.45
100877,2025-06-28,East,SPORTS,Online,UPI,5.0,56.26,0.0,50.0,2.4,281.3
100707,2025-02-22,East,ELECTRONICS,Online,Cash,8.0,157.29,5.0,48.0,4.4,1195.4
101051,2024-09-23,East,SPORTS,Online,UPI,8.0,84.42,10.0,18.0,3.1,607.82
100666,2025-01-02,Central,Sports,In-Store,Credit Card,3.0,72.6,0.0,66.0,1.4,217.8
101803,2024-07-08,Central,Clothing,Online,Debit Card,7.0,39.66,0.0,49.0,1.4,277.62
100638,2025-08-02,West,Beauty,In-Store,Credit Card,8.0,39.74,0.0,44.0,,317.92
100773,06/08/2025,Central,ELECTRONICS,In-Store,Net Banking,6.0,293.34,0.0,18.0,3.0,1760.04
101898,2025-06-30,West,Sports,In-Store,Credit Card,6.0,49.47,5.0,18.0,1.7,281.98
102946,2025-03-06,South,Home & Kitchen,Online,Cash,1.0,81.45,5.0,19.0,4.2,77.38
102101,2025-05-03,North,Clothing,Online,Credit Card,2.0,58.81,0.0,27.0,4.6,117.62
102565,2024-11-11,West,Home & Kitchen,Online,,7.0,65.56,0.0,65.0,4.0,458.92
101109,2024-02-02,South,Books,Online,Credit Card,4.0,31.52,15.0,52.0,3.1,107.17
102832,2024-08-07,  north ,Sports,Online,Net Banking,7.0,67.19,0.0,32.0,2.6,470.33
101812,2025-05-07,East,Sports,In-Store,Credit Card,5.0,80.39,25.0,65.0,3.8,301.46
100110,2024-07-21,South,Electronics,Online,Debit Card,7.0,323.62,15.0,48.0,1.9,1925.54
100070,2025-08-04,South,ELECTRONICS,In-Store,Credit Card,11.0,174.3,15.0,56.0,1.2,1629.71
102794,2024-02-20,West,Electronics,Online,UPI,8.0,196.57,0.0,44.0,4.6,1572.56
101942,2025-10-01,North,Sports,In-Store,Cash,8.0,83.42,10.0,60.0,4.4,600.62
100259,2025-03-05,Central,CLOTHING,Online,Cash,7.0,14.99,0.0,43.0,4.0,104.93
101875,2024-03-29,East,Clothing,Online,Debit Card,3.0,36.28,25.0,60.0,1.8,81.63
101966,2024-09-28,East,Beauty,Online,,11.0,35.45,0.0,41.0,1.6,389.95
102598,2025-12-08,West,Sports,Online,Net Banking,6.0,87.95,0.0,45.0,,527.7
102883,2024-02-05,East,SPORTS,Online,Debit Card,6.0,81.46,0.0,53.0,3.5,488.76
100034,2025-10-11,North,Beauty,In-Store,Credit Card,4.0,23.92,0.0,42.0,2.1,95.68
100921,2025-02-22,North,Electronics,In-Store,Net Banking,3.0,226.99,0.0,,2.1,680.97
101261,06-11-2025,Central,Clothing,In-Store,Cash,3.0,42.8,5.0,44.0,4.5,121.98
102884,2024-09-16,Central,Books,Online,Credit Card,5.0,19.58,15.0,34.0,3.4,83.21
101351,2024-10-13,East,Electronics,Online,Credit Card,6.0,208.71,0.0,34.0,1.1,1252.26
102223,11/05/2024,East,Books,In-Store,Debit Card,6.0,11.96,20.0,47.0,3.4,57.41
102949,2025-01-14,North,Beauty,Online,Debit Card,2.0,49.78,0.0,22.0,4.2,99.56
101686,2024-11-08,  west ,Books,Online,Net Banking,3.0,10.79,0.0,21.0,4.1,32.37
100729,2025-04-25,West,Sports,Online,Cash,7.0,64.74,10.0,65.0,4.0,407.86
100030,2024-11-25,South,Clothing,Online,Credit Card,6.0,24.4,25.0,69.0,3.7,109.8
100742,04/08/2025,South,Sports,Online,Net Banking,10.0,43.38,0.0,44.0,1.8,433.8
100318,2025-11-17,East,Home & Kitchen,Online,Debit Card,2.0,114.89,20.0,51.0,4.0,183.82
101825,21-10-2025,Central,Clothing,Online,Net Banking,10.0,44.02,5.0,44.0,1.8,418.19
100118,2024-06-28,,Home & Kitchen,In-Store,UPI,2.0,85.38,10.0,66.0,4.3,153.68
101809,2025-12-02,North,Sports,Online,UPI,7.0,71.23,15.0,46.0,4.0,423.82
100694,2024-03-06,East,Electronics,Online,Debit Card,5.0,244.6,0.0,42.0,1.6,1223.0
101622,2025-11-06,South,Beauty,Online,UPI,1.0,32.35,10.0,61.0,2.6,29.12
100802,2025-01-11,East,Sports,Online,,6.0,93.69,25.0,52.0,2.4,421.6
101695,13-05-2025,South,Books,Online,Debit Card,1.0,19.32,0.0,34.0,2.2,19.32
101010,2024-07-15,East,Sports,Online,Net Banking,4.0,47.78,10.0,24.0,1.2,172.01
101776,2024-08-30,East,HOME & KITCHEN,Online,Cash,8.0,23.28,10.0,67.0,4.6,167.62
100296,13-09-2025,East,Books,In-Store,Credit Card,4.0,19.12,5.0,69.0,4.7,72.66
100280,2024-07-20,North,Sports,In-Store,Cash,8.0,30.65,15.0,,1.2,208.42
102943,17-05-2024,Central,Electronics,In-Store,UPI,3.0,211.74,25.0,19.0,2.6,476.42
102645,2024-01-05,South,BOOKS,Online,Debit Card,9.0,16.82,5.0,58.0,2.5,143.81
102300,2024-07-14,North,Beauty,In-Store,Credit Card,7.0,35.02,15.0,19.0,1.5,208.37
100429,2025-06-06,East,Sports,Online,Credit Card,7.0,63.74,0.0,46.0,3.0,446.18
101684,19-09-2024,North,Sports,Online,Net Banking,1.0,55.33,15.0,39.0,2.5,47.03
102693,2024-11-06,Central,Beauty,Online,UPI,9.0,45.21,0.0,50.0,4.6,406.89
102520,2024-11-19,  south ,Books,Online,UPI,9.0,15.5,0.0,44.0,1.0,139.5
101463,2024-02-07,  east ,Beauty,In-Store,Debit Card,11.0,26.31,25.0,65.0,4.5,217.06
102136,2025-02-02,  central ,Books,Online,Credit Card,2.0,20.71,15.0,21.0,4.3,35.21
100079,2025-05-04,Central,HOME & KITCHEN,In-Store,Credit Card,11.0,71.44,10.0,42.0,4.0,707.26
101755,08/21/2024,West,Books,In-Store,Net Banking,4.0,28.91,0.0,23.0,2.9,115.64
101892,2025-10-04,Central,Clothing,Online,Cash,5.0,5.56,20.0,31.0,1.7,22.24
100676,2025-02-28,South,Books,Online,Credit Card,10.0,13.71,25.0,23.0,2.0,102.83
101420,2025-11-25,Central,Beauty,Online,UPI,3.0,41.09,15.0,46.0,3.3,104.78
101720,2024-03-05,South,Home & Kitchen,Online,Credit Card,10.0,96.11,0.0,52.0,3.5,961.1
101609,2024-04-02,Central,Electronics,In-Store,Debit Card,9.0,220.63,25.0,56.0,4.7,1489.25
100889,2024-07-16,North,Sports,Online,Cash,11.0,38.34,5.0,65.0,1.6,400.65
101450,2024-08-02,North,Books,Online,Net Banking,4.0,31.01,0.0,39.0,3.2,124.04
101598,2025-09-09,South,Beauty,Online,Credit Card,4.0,33.81,25.0,,1.6,101.43
100670,2025-11-27,South,Books,Online,Credit Card,1.0,15.06,20.0,62.0,4.7,12.05
102724,2025-07-31,North,Clothing,Online,Net Banking,1.0,58.8,15.0,29.0,3.5,49.98
100203,2025-05-26,West,Beauty,Online,UPI,9.0,38.28,10.0,50.0,2.8,310.07
100547,2025-03-08,East,Home & Kitchen,Online,Cash,7.0,,5.0,38.0,4.2,478.27
101600,2024-08-08,Central,Books,In-Store,,3.0,17.67,20.0,62.0,3.3,42.41
100704,2024-04-04,South,ELECTRONICS,Online,Cash,2.0,191.82,10.0,19.0,3.8,345.28
100356,20-04-2024,South,Books,Online,UPI,7.0,35.94,0.0,56.0,1.9,251.58
100186,2024-05-01,  east ,Electronics,In-Store,Net Banking,11.0,300.29,20.0,31.0,1.7,2642.55
101005,2025-11-04,,BOOKS,Online,Cash,10.0,20.46,20.0,64.0,3.2,163.68
100974,2024-04-18,South,Sports,Online,Credit Card,5.0,33.11,0.0,36.0,3.3,165.55
101068,31-08-2024,West,Clothing,Online,Credit Card,2.0,38.93,20.0,,2.5,62.29
102318,13-09-2025,West,Books,Online,Net Banking,5.0,23.76,15.0,,2.0,100.98
101945,03/27/2024,South,Beauty,Online,Net Banking,1.0,47.49,5.0,23.0,1.6,45.12
100420,09-11-2025,East,Home & Kitchen,Online,Credit Card,3.0,23.77,10.0,19.0,3.9,64.18
100450,2025-12-02,  central ,Books,Online,Net Banking,,19.36,0.0,48.0,1.3,154.88
102725,03/28/2025,Central,SPORTS,In-Store,Credit Card,10.0,70.49,0.0,55.0,4.9,704.9
102835,2025-02-01,North,Books,Online,Credit Card,8.0,35.55,0.0,34.0,1.2,284.4
101965,06/26/2025,  west ,Home & Kitchen,In-Store,Net Banking,2.0,74.99,0.0,49.0,1.6,149.98
100427,2025-08-10,West,Beauty,Online,Credit Card,2.0,34.3,0.0,47.0,4.8,68.6
101957,2025-01-23,Central,Sports,Online,Credit Card,9.0,49.23,10.0,22.0,2.3,398.76
100172,2025-07-18,West,Electronics,Online,UPI,2.0,210.19,5.0,30.0,4.5,399.36
102623,2025-11-06,South,Electronics,In-Store,UPI,6.0,237.75,25.0,29.0,4.4,1069.88
100962,09/06/2025,North,Books,Online,UPI,10.0,17.38,5.0,62.0,2.1,165.11
100887,21-05-2024,North,Beauty,Online,Debit Card,6.0,38.38,15.0,18.0,1.7,195.74
101897,01-10-2025,North,Sports,Online,Cash,8.0,,25.0,53.0,2.3,194.94
100795,2024-08-03,  north ,Sports,Online,Net Banking,9.0,55.66,0.0,67.0,1.3,500.94
102196,31-07-2024,  south ,Clothing,Online,Net Banking,9.0,31.51,10.0,27.0,1.4,255.23
102478,2024-02-26,  east ,Clothing,Online,Cash,3.0,45.64,0.0,64.0,5.0,136.92
100444,2025-01-06,,Books,Online,Credit Card,8.0,16.32,0.0,64.0,1.5,130.56
100964,2025-11-24,South,Sports,Online,Net Banking,-4.0,60.58,10.0,30.0,3.3,218.09
102890,2024-04-18,North,Home & Kitchen,In-Store,Cash,5.0,65.18,20.0,18.0,3.0,260.72
100190,05/14/2025,West,Electronics,In-Store,Net Banking,1.0,227.57,10.0,61.0,1.6,204.81
101223,2025-04-23,South,Sports,Online,Cash,6.0,58.17,20.0,33.0,2.2,279.22
100415,2025-05-10,North,Home & Kitchen,Online,UPI,7.0,75.93,5.0,30.0,3.6,504.93
101682,2024-01-26,East,BOOKS,Online,Net Banking,4.0,8.46,0.0,56.0,2.7,33.84
100619,2024-04-12,  south ,Sports,Online,Cash,11.0,51.78,0.0,35.0,3.8,569.58
100854,2024-07-29,East,Sports,Online,Debit Card,7.0,34.77,10.0,43.0,1.5,219.05
102437,2025-05-09,West,Electronics,In-Store,Credit Card,7.0,231.0,0.0,48.0,3.7,1617.0
100596,2025-02-27,North,Books,Online,Credit Card,3.0,20.11,20.0,18.0,4.3,48.26
100002,04/23/2025,South,Books,Online,Credit Card,8.0,17.16,5.0,23.0,4.8,130.42
101324,2025-09-25,Central,Sports,In-Store,UPI,4.0,45.77,10.0,,4.3,164.77
100305,2024-04-12,West,Electronics,Online,UPI,9.0,290.16,0.0,38.0,2.2,2611.44
102562,2025-05-02,North,Beauty,In-Store,Debit Card,1.0,43.06,0.0,21.0,4.1,43.06
